CreationTime,AuthenticateCount,ActiveCount,DisconnectCount,CPUUtil,MemoryUsed,MemoryFree,TempMin,TempMax,TempAvg,InBandwidth,OutBandwidth,InTotalPPS,OutTotalPPS
2018-08-04 10:00:00,3.0,13935.0,6.0,21.0,1599488000.0,5654680000.0,34.0,53.0,43.5,346865761.6255611,466437119.292398,406669.9124681781,543815.1399755533
2018-08-04 10:15:00,9.0,14400.0,4.0,23.0,1594752000.0,5659416000.0,33.0,53.0,43.5,368430662.32204264,487559579.6386209,431858.2569199696,568245.2843319401
2018-08-04 10:30:00,5.0,14804.0,5.0,24.0,1594352000.0,5659816000.0,33.0,53.0,42.3,399184056.4705135,519068829.26494753,466227.2965939983,601421.4118428706
2018-08-04 10:45:00,5.0,15095.0,7.0,24.0,1594448000.0,5659720000.0,32.0,53.0,41.6,413730228.9596818,533052243.8450922,485105.5426250717,619162.3717045451
2018-08-04 11:00:00,4.0,15287.0,5.0,24.0,1598544000.0,5655624000.0,31.0,53.0,41.1,423084868.8311943,542128978.2219383,496524.68053422275,631627.2514299181
2018-08-04 11:15:00,1.0,15414.0,4.0,25.0,1594472000.0,5659696000.0,30.0,52.0,40.5,440920625.4653837,559059794.37067,514663.2089830088,648230.3076302677
2018-08-04 11:30:00,6.0,15473.0,5.0,26.0,1594016000.0,5660152000.0,31.0,51.0,40.2,460105882.47414017,578298760.4705316,535702.3832582328,669357.0679443732
2018-08-04 11:45:00,7.0,15578.0,7.0,24.0,1593704000.0,5660464000.0,30.0,53.0,42.3,478536971.73755443,595083106.1938032,555414.6808099037,687613.426376145
2018-08-04 12:00:00,6.0,15576.0,4.0,25.0,1596972000.0,5657196000.0,33.0,55.0,44.1,474899359.672051,592016157.7219424,551588.104554043,683838.0779061748
2018-08-04 12:15:00,0.0,15465.0,5.0,26.0,1598720000.0,5655384000.0,31.0,55.0,43.7,483690262.9465303,601245228.9484646,562824.0523037702,695860.6198294784
2018-08-04 12:30:00,11.0,15603.0,4.0,26.0,1592712000.0,5661392000.0,32.0,55.0,43.7,499506398.97108114,617592458.4406385,580478.7204283277,713063.87116173
2018-08-04 12:45:00,4.0,15678.0,5.0,26.0,1596184000.0,5657920000.0,32.0,56.0,43.8,505643095.4767853,623132745.7511348,587523.1099630538,720843.0870290716
2018-08-04 13:00:00,6.0,15684.0,3.0,24.0,1594872000.0,5659232000.0,30.0,56.0,43.6,499418365.3318898,617375274.839494,580105.5641934281,713067.2102984852
2018-08-04 13:15:00,3.0,15607.0,5.0,24.0,1593960000.0,5660144000.0,31.0,56.0,43.6,492853669.506309,610755232.4708223,574400.1356039047,706539.6516993718
2018-08-04 13:30:00,9.0,15456.0,10.0,23.0,1592976000.0,5661128000.0,32.0,55.0,43.9,489650673.4138845,607571953.8467964,569871.8632339775,701662.2671557181
2018-08-04 13:45:00,6.0,15398.0,3.0,24.0,1592404000.0,5661700000.0,33.0,56.0,44.2,498612492.6778824,616735892.7421893,578042.6290186023,709649.8201061332
2018-08-04 14:00:00,5.0,15337.0,3.0,26.0,1596048000.0,5658056000.0,32.0,56.0,44.0,501874318.80690426,620293723.2900263,581650.3724416655,712868.3992234176
2018-08-04 14:15:00,5.0,15387.0,2.0,26.0,1592500000.0,5661600000.0,31.0,55.0,44.1,503893147.60884255,622202024.9685056,582437.6860398347,713934.3114549784
2018-08-04 14:30:00,7.0,15365.0,3.0,23.0,1593476000.0,5660624000.0,30.0,53.0,43.0,498107625.2133998,615513328.1932514,575490.1694928049,707085.573065214
2018-08-04 14:45:00,7.0,15244.0,8.0,23.0,1593872000.0,5660228000.0,31.0,53.0,43.3,509266337.6186869,626865481.6325929,588489.6034873953,720260.518014105
2018-08-04 15:00:00,3.0,15223.0,3.0,24.0,1597820000.0,5656280000.0,32.0,53.0,43.3,500622546.37218434,618717575.8905454,582257.1375307153,714509.580644637
